\
\ Periodogram Table of Peaks File
\
\ Input File=AllWISE-MEP-m82-2targets-10arsecs.tbl
\ Time Column=mjd
\ Data Column=w1mpro_ep
\ Algorithm=ls
\ Min Period=0.000300
\ Max Period=192.894987
\ Step Method=fixedf
\ Fixed Step Size=4.224750
\ Number of Peaks=50
\ Peak Significant Threshold=1.000000
\ NSamplesForStat=790
\
|Peak |Period              |Power               |Frequency           |SDE                 |
|int  |double              |double              |double              |double              |
 1     0.0006038256         6.0723851147         1656.1073263538      6.0723851147        
 2     0.0004687125         5.7035341141         2133.5040136544      5.7035341141        
 3     0.0005745137         5.1144470742         1740.6025304531      5.1144470742        
 4     0.0007916368         5.0463464639         1263.2055508284      5.0463464639        
 5     0.0036414754         4.7131597249         274.6139655372       4.7131597249        
 6     0.0004880408         4.4902935954         2049.0090172789      4.4902935954        
 7     0.0003692666         4.3300700521         2708.0705376549      4.3300700521        
 8     0.0017028653         4.3038244041         587.2455090840       4.3038244041        
 9     0.0003971475         4.2552174753         2517.9561749728      4.2552174753        
 10    0.0003338504         4.2377566143         2995.3536074841      4.2377566143        
 11    0.0006762844         4.1558732102         1478.6678503896      4.1558732102        
 12    0.0012138404         4.0568385803         823.8315350189       4.0568385803        
 13    0.0060690493         4.0511968049         164.7704525979       4.0511968049        
 14    0.0014980920         3.9974699140         667.5157466965       3.9974699140        
 15    0.0003842531         3.9688935253         2602.4513530275      3.9688935253        
 16    0.0003224795         3.9326033576         3100.9723098678      3.9326033576        
 17    0.0003658422         3.8886073293         2733.4189440147      3.8886073293        
 18    0.0008218728         3.8322121073         1216.7332949819      3.8322121073        
 19    0.0084532141         3.8216435969         118.2981985515       3.8216435969        
 20    0.0010202548         3.7983715539         980.1473122204       3.7983715539        
 21    0.0004272560         3.7720926823         2340.5171606718      3.7720926823        
 22    0.0007863768         3.7683411554         1271.6550132201      3.7683411554        
 23    0.0009210087         3.7111550358         1085.7660736538      3.7111550358        
 24    0.0043832406         3.6836766693         228.1417086710       3.6836766693        
 25    0.0004152629         3.6247089079         2408.1130291196      3.6247089079        
 26    0.0012590363         3.6211814440         794.2582751585       3.6211814440        
 27    0.0003147606         3.6145336251         3177.0177080613      3.6145336251        
 28    0.0013525640         3.5692887543         739.3365489544       3.5692887543        
 29    0.0004810971         3.5230958161         2078.5824732679      3.5230958161        
 30    0.0008670304         3.5112744802         1153.3620966462      3.5112744802        
 31    0.0014345370         3.4797813545         697.0890259366       3.4797813545        
 32    0.0003575528         3.4601765971         2796.7897328730      3.4601765971        
 33    0.0004962259         3.4353956896         2015.2112173105      3.4353956896        
 34    0.0003135099         3.3786763298         3189.6919363631      3.3786763298        
 35    0.0005343109         3.2816243440         1871.5695300246      3.2816243440        
 36    0.0006467201         3.2406464565         1546.2639865376      3.2406464565        
 37    0.0004319340         3.2172197194         2315.1685211167      3.2172197194        
 38    0.0004705761         3.1777617676         2125.0547998507      3.1777617676        
 39    0.0006245372         3.1364251641         1601.1856459471      3.1364251641        
 40    0.0024915506         3.1348034935         401.3564886059       3.1348034935        
 41    0.0003106299         3.1332815528         3219.2651125986      3.1332815528        
 42    0.0008932048         3.1235422698         1119.5640686212      3.1235422698        
 43    0.0019561816         3.0840164783         511.1999826601       3.0840164783        
 44    0.0005703606         3.0629585835         1753.2767866504      3.0629585835        
 45    0.0003352691         3.0493117892         2982.6786900433      3.0493117892        
 46    0.0003435413         2.9838591876         2910.8581704732      2.9838591876        
 47    0.0011325310         2.9718208810         882.9780376873       2.9718208810        
 48    0.0011776066         2.9570261288         849.1800232777       2.9570261288        
 49    0.0003861336         2.9335961539         2589.7772170047      2.9335961539        
 50    0.0003198648         2.9301634581         3126.3208705678      2.9301634581        
